"=""Статистика недоступности электронных сервисов""";

"=""Выберите узел СМЭВ""";"=""00 Федеральный уровень""";
"=""Выберите поставщика сервиса""";"=""""";
"=""Выберите информационные системы""";"=""""";
"=""Выберите сервисы""";"=""""";
"=""Выберите период формирования отчета с""";"=""07.02.2014""";
"=""по""";"=""13.02.2014""";
"=""Время генерации отчета""";"=""14.07.2014 12:31:56""";

"=""Сводные показатели""";

"=""Ведомство""";"=""Сервис""";"=""Кол-во отключений сервиса за период""";"=""Общее время недоступности за период""";"=""Самый продолжительный интервал недоступности""";"=""Среднее время недоступности""";"=""Общее время недоступности, без учета кратковременных прерываний""";
"=""Банк Таврический""";"=""(00-SID0003518) - Банк таврический в роли Расчетного банка""";"=""2""";"=""00:02:40""";"=""00:02:30""";"=""00:01:20""";"=""00:00:00""";
"=""Банк Таврический""";"=""(00-SID0003519) - Банк таврический в роли Поставщика платежных средств""";"=""2""";"=""00:00:38""";"=""00:00:28""";"=""00:00:19""";"=""00:00:00""";
"=""Главгосэкспертиза России""";"=""(00-SID0003320) - Сервис выдачи выписок из реестра выданных заключений государственной экспертизы проектной документации и  проверки достоверности определения сметной стоимости.""";"=""56""";"=""01:05:45""";"=""00:04:58""";"=""00:01:10""";"=""00:00:00""";
"=""Главгосэкспертиза России""";"=""(00-SID0003523) - Сервис приема заявлений  от ПГУ на проведение государственной экспертизы проектной документации и/или проверки достоверности определения сметной стоимости""";"=""3""";"=""00:02:13""";"=""00:01:34""";"=""00:00:44""";"=""00:00:00""";
"=""Государственное автономное учреждение Республики Мордовия «Госинформ»""";"=""(00-SID0003692) - Электронный сервис «Сведения из реестра о безработных гражданах»""";"=""21""";"=""00:29:34""";"=""00:02:57""";"=""00:01:24""";"=""00:00:00""";
"=""Департамент информационных технологий города Москвы""";"=""(00-SID0003823) - Сервис предоставления информации о ранее выданных разрешениях на ввод в эксплуатацию объектов капитального строительства""";"=""0""";"=""07:29:15""";"=""07:29:15""";"=""00:00:00""";"=""07:29:15""";
"=""Департамент информационных технологий города Москвы""";"=""(00-SID0003824) - Электронный сервис системы регистрации начислений и платежей""";"=""1""";"=""00:13:59""";"=""00:09:00""";"=""00:13:59""";"=""00:09:00""";
"=""Департамент информационных технологий города Москвы""";"(00-SID0003826) - Сведения о неполучении ежемесячного пособия по уходу за ребенком в органах социальной защиты населения по месту жительства отца, матери ребенка (для одного из родителей в соответствующих случаях, а также для лиц, фактически осуществляющих уход за ребенком вместо матери (отца, обоих родителей) ребенка) в случае, если отец (мать, оба родителя) ребенка не работает (не служит) либо обучается по очной форме обучения в образовательных учреждениях начального профессионального";"=""0""";"=""07:29:15""";"=""07:29:15""";"=""00:00:00""";"=""07:29:15""";
"=""Департамент информационных технологий города Москвы""";"(00-SID0003828) - Сервис получения сведений о нахождении на регистрационном учете в целях поиска подходящей работы  (в качестве безработного); периодах получения пособия по безработице; периодах участия в оплачиваемых общественных работах и периодах переезда по направлению службы занятости в другую местность для трудоустройства";"=""0""";"=""07:29:15""";"=""07:29:15""";"=""00:00:00""";"=""07:29:15""";
"=""Департамент информационных технологий города Москвы""";"=""(00-SID0003830) - Сведения о получении социальных выплат""";"=""0""";"=""07:29:15""";"=""07:29:15""";"=""00:00:00""";"=""07:29:15""";
"=""Департамент информационных технологий города Москвы""";"=""(00-SID0003833) - Сервис предоставления сведений, содержащихся в разрешении на строительство""";"=""0""";"=""07:29:15""";"=""07:29:15""";"=""00:00:00""";"=""07:29:15""";
"=""Департамент информационных технологий города Москвы""";"=""(00-SID0003834) - Сервис по предоставлению сведений по договорам социального (коммерческого) найма жилого помещения""";"=""0""";"=""07:29:15""";"=""07:29:15""";"=""00:00:00""";"=""07:29:15""";
"=""Департамент информационных технологий города Москвы""";"=""(00-SID0003835) - Заключение о привлечении и об использовании иностранных работников""";"=""0""";"=""07:29:15""";"=""07:29:15""";"=""00:00:00""";"=""07:29:15""";
"=""Департамент информационных технологий города Москвы""";"=""(00-SID0003838) - Получение выписки из похозяйственной книги о наличии у гражданина права на земельный участок""";"=""1""";"=""07:29:15""";"=""07:29:15""";"=""07:29:15""";"=""07:29:15""";
"=""Департамент информационных технологий города Москвы""";"=""(00-SID0003839) - Сервис предоставления электронной копии договора о предоставлении рыбопромыслового участка для осуществления рыболовства""";"=""0""";"=""07:29:15""";"=""07:29:15""";"=""00:00:00""";"=""07:29:15""";
"=""Департамент информационных технологий города Москвы""";"=""(00-SID0003840) - Сервис сбора сведений из актов освидетельствования проведения основных работ по строительству объекта индивидуального жилищного строительства""";"=""0""";"=""07:29:15""";"=""07:29:15""";"=""00:00:00""";"=""07:29:15""";
"=""Департамент информационных технологий города Москвы""";"=""(00-SID0003842) - Сервис обработки запросов на предоставление сведений о «документе, подтверждающем принадлежность земельного участка к определенной категории земель»""";"=""0""";"=""07:29:15""";"=""07:29:15""";"=""00:00:00""";"=""07:29:15""";
"=""Департамент информационных технологий города Москвы""";"=""(00-SID0003845) - Документ, подтверждающий установленное разрешенное использование земельного участка""";"=""0""";"=""07:29:15""";"=""07:29:15""";"=""00:00:00""";"=""07:29:15""";
"=""Департамент информационных технологий города Москвы""";"=""(00-SID0003846) - Выписка из домовой книги""";"=""0""";"=""07:29:15""";"=""07:29:15""";"=""00:00:00""";"=""07:29:15""";
